symbol,variety,exchange,interval,interval_label,status,coverage_full,coverage_start,coverage_end,provider_start,provider_end,actual_start,actual_end,bar_count,golden_crosses,death_crosses,ice_points,sig_long,sig_short,resonance_long,resonance_short
SH0,烧碱,郑商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,62,63,25,0,0,0,0
SH0,烧碱,郑商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,45,44,24,1,1,1,1
SH0,烧碱,郑商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,34,35,17,0,0,0,0
SH0,烧碱,郑商所,daily,日线,ok,True,True,True,2023-09-15,2026-08-03,2026-01-05,2026-07-31,139,6,7,3,1,0,0,0
SI0,工业硅,广期所,120m,120分钟,ok,True,True,True,2024-06-25 15:00:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-07-31 15:00:00,278,15,16,6,1,0,1,0
SI0,工业硅,广期所,30m,30分钟,ok,False,False,True,2026-01-21 10:00:00,2026-08-03 15:00:00,2026-01-21 10:00:00,2026-07-31 15:00:00,1015,57,58,35,2,1,0,0
SI0,工业硅,广期所,60m,60分钟,ok,True,True,True,2025-07-15 11:15:00,2026-08-03 15:00:00,2026-01-05 10:00:00,2026-07-31 15:00:00,556,39,40,24,0,0,0,0
SI0,工业硅,广期所,90m,90分钟,ok,True,True,True,2025-03-11 10:45:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-07-31 15:00:00,417,24,25,14,1,0,1,0
SI0,工业硅,广期所,daily,日线,ok,True,True,True,2022-12-22,2026-08-03,2026-01-05,2026-07-31,139,11,12,4,0,0,0,0
SM0,锰硅,郑商所,120m,120分钟,ok,True,True,True,2024-06-25 15:00:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-07-31 15:00:00,278,16,17,9,0,0,0,0
SM0,锰硅,郑商所,30m,30分钟,ok,False,False,True,2026-01-21 10:00:00,2026-08-03 15:00:00,2026-01-21 10:00:00,2026-07-31 15:00:00,1015,64,66,34,0,0,0,0
SM0,锰硅,郑商所,60m,60分钟,ok,True,True,True,2025-07-15 11:15:00,2026-08-03 15:00:00,2026-01-05 10:00:00,2026-07-31 15:00:00,556,36,37,18,0,0,0,0
SM0,锰硅,郑商所,90m,90分钟,ok,True,True,True,2025-03-11 10:45:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-07-31 15:00:00,417,28,29,17,0,1,0,0
SM0,锰硅,郑商所,daily,日线,ok,True,True,True,2014-08-12,2026-08-03,2026-01-05,2026-07-31,139,6,7,3,0,0,0,0
SN0,沪锡,上期所,120m,120分钟,ok,True,True,True,2025-07-29 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,573,31,30,8,2,2,1,0
SN0,沪锡,上期所,30m,30分钟,ok,False,False,True,2026-04-29 00:30:00,2026-08-03 23:00:00,2026-04-29 00:30:00,2026-07-31 23:30:00,1008,57,57,22,1,1,1,0
SN0,沪锡,上期所,60m,60分钟,ok,False,False,True,2026-01-19 10:00:00,2026-08-03 23:00:00,2026-01-19 10:00:00,2026-07-31 23:00:00,1015,57,57,22,2,1,1,0
SN0,沪锡,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,52,51,20,2,3,0,0
SN0,沪锡,上期所,daily,日线,ok,True,True,True,2015-03-27,2026-08-03,2026-01-05,2026-07-31,139,9,8,4,0,0,0,0
SP0,纸浆,上期所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,27,27,16,0,0,0,0
SP0,纸浆,上期所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,51,51,22,3,1,0,0
SP0,纸浆,上期所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,51,51,23,0,0,0,0
SP0,纸浆,上期所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,32,33,15,0,2,0,1
SP0,纸浆,上期所,daily,日线,ok,True,True,True,2018-11-27,2026-08-03,2026-01-05,2026-07-31,139,13,13,9,0,0,0,0
SR0,白糖,郑商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,27,28,12,0,0,0,0
SR0,白糖,郑商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,63,63,38,0,0,0,0
SR0,白糖,郑商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,52,52,24,1,1,1,0
SR0,白糖,郑商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,41,41,21,1,1,1,0
SR0,白糖,郑商所,daily,日线,ok,True,True,True,2006-01-12,2026-08-03,2026-01-05,2026-07-31,139,6,7,3,0,1,0,1
SS0,不锈钢,上期所,120m,120分钟,ok,True,True,True,2025-07-29 01:00:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,573,37,37,17,0,1,0,0
SS0,不锈钢,上期所,30m,30分钟,ok,False,False,True,2026-04-29 00:30:00,2026-08-03 23:00:00,2026-04-29 00:30:00,2026-07-31 23:30:00,1008,58,58,27,2,0,1,0
SS0,不锈钢,上期所,60m,60分钟,ok,False,False,True,2026-01-19 11:15:00,2026-08-03 23:00:00,2026-01-19 11:15:00,2026-07-31 23:00:00,1015,62,62,25,1,0,0,0
SS0,不锈钢,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,54,54,23,1,0,0,0
SS0,不锈钢,上期所,daily,日线,ok,True,True,True,2019-09-25,2026-08-03,2026-01-05,2026-07-31,139,9,9,3,0,0,0,0
T0,10年期国债,中金所,120m,120分钟,ok,True,True,True,2025-03-11 11:30:00,2026-08-03 15:15:00,2026-01-05 11:30:00,2026-07-31 15:15:00,417,23,21,5,1,1,0,0
T0,10年期国债,中金所,30m,30分钟,ok,False,False,True,2026-02-10 11:30:00,2026-08-03 15:15:00,2026-02-10 11:30:00,2026-07-31 15:15:00,1014,61,61,23,1,1,1,0
T0,10年期国债,中金所,60m,60分钟,ok,True,True,True,2025-09-24 14:00:00,2026-08-03 15:15:00,2026-01-05 10:30:00,2026-07-31 15:15:00,695,39,38,19,0,1,0,0
T0,10年期国债,中金所,90m,90分钟,ok,True,True,True,2025-03-11 11:00:00,2026-08-03 15:15:00,2026-01-05 11:00:00,2026-07-31 15:15:00,417,26,25,12,1,0,0,0
T0,10年期国债,中金所,daily,日线,ok,True,True,True,2017-01-17,2026-08-03,2026-01-05,2026-07-31,139,7,6,2,0,0,0,0
TA0,PTA,郑商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,28,27,13,1,0,0,0
TA0,PTA,郑商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,53,52,24,1,1,1,0
TA0,PTA,郑商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,56,55,25,1,2,0,1
TA0,PTA,郑商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,46,45,27,2,2,0,2
TA0,PTA,郑商所,daily,日线,ok,True,True,True,2006-12-19,2026-08-03,2026-01-05,2026-07-31,139,15,15,10,0,0,0,0
TF0,5年期国债,中金所,120m,120分钟,ok,True,True,True,2025-03-11 11:30:00,2026-08-03 15:15:00,2026-01-05 11:30:00,2026-07-31 15:15:00,417,23,22,8,0,0,0,0
TF0,5年期国债,中金所,30m,30分钟,ok,False,False,True,2026-02-10 11:30:00,2026-08-03 15:15:00,2026-02-10 11:30:00,2026-07-31 15:15:00,1014,66,66,35,0,1,0,0
TF0,5年期国债,中金所,60m,60分钟,ok,True,True,True,2025-09-24 14:00:00,2026-08-03 15:15:00,2026-01-05 10:30:00,2026-07-31 15:15:00,695,39,38,17,0,2,0,0
TF0,5年期国债,中金所,90m,90分钟,ok,True,True,True,2025-03-11 11:00:00,2026-08-03 15:15:00,2026-01-05 11:00:00,2026-07-31 15:15:00,417,22,21,8,0,0,0,0
TF0,5年期国债,中金所,daily,日线,ok,True,True,True,2017-01-17,2026-08-03,2026-01-05,2026-07-31,139,12,11,5,0,0,0,0
TL0,30年期国债,中金所,120m,120分钟,ok,True,True,True,2025-03-11 11:30:00,2026-08-03 15:15:00,2026-01-05 11:30:00,2026-07-31 15:15:00,417,22,21,7,1,0,1,0
TL0,30年期国债,中金所,30m,30分钟,ok,False,False,True,2026-02-10 11:30:00,2026-08-03 15:15:00,2026-02-10 11:30:00,2026-07-31 15:15:00,1014,45,46,19,0,0,0,0
TL0,30年期国债,中金所,60m,60分钟,ok,True,True,True,2025-09-24 14:00:00,2026-08-03 15:15:00,2026-01-05 10:30:00,2026-07-31 15:15:00,695,38,37,16,1,0,1,0
TL0,30年期国债,中金所,90m,90分钟,ok,True,True,True,2025-03-11 11:00:00,2026-08-03 15:15:00,2026-01-05 11:00:00,2026-07-31 15:15:00,417,24,23,8,1,0,1,0
TL0,30年期国债,中金所,daily,日线,ok,True,True,True,2023-04-21,2026-08-03,2026-01-05,2026-07-31,139,12,11,5,0,0,0,0
TS0,2年期国债,中金所,120m,120分钟,ok,True,True,True,2025-03-11 11:30:00,2026-08-03 15:15:00,2026-01-05 11:30:00,2026-07-31 15:15:00,417,20,19,7,0,0,0,0
TS0,2年期国债,中金所,30m,30分钟,ok,False,False,True,2026-02-10 11:30:00,2026-08-03 15:15:00,2026-02-10 11:30:00,2026-07-31 15:15:00,1014,69,67,34,0,1,0,0
TS0,2年期国债,中金所,60m,60分钟,ok,True,True,True,2025-09-24 14:00:00,2026-08-03 15:15:00,2026-01-05 10:30:00,2026-07-31 15:15:00,695,38,37,17,1,0,0,0
TS0,2年期国债,中金所,90m,90分钟,ok,True,True,True,2025-03-11 11:00:00,2026-08-03 15:15:00,2026-01-05 11:00:00,2026-07-31 15:15:00,417,21,20,10,0,0,0,0
TS0,2年期国债,中金所,daily,日线,ok,True,True,True,2018-08-17,2026-08-03,2026-01-05,2026-07-31,139,13,12,5,0,0,0,0
UR0,尿素,郑商所,120m,120分钟,ok,True,True,True,2024-06-25 15:00:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-07-31 15:00:00,278,20,21,11,0,1,0,0
UR0,尿素,郑商所,30m,30分钟,ok,False,False,True,2026-01-21 10:00:00,2026-08-03 15:00:00,2026-01-21 10:00:00,2026-07-31 15:00:00,1015,55,54,30,3,1,0,1
