symbol,variety,exchange,interval,direction,datetime,close,zk,zd,bk
SR0,白糖,郑商所,90m,long,2026-04-21 10:00:00,5338.0,,5323.64,36.4992
SR0,白糖,郑商所,daily,short,2026-06-04,5374.0,5431.2064,,68.712
SS0,不锈钢,上期所,30m,long,2026-05-26 14:15:00,14810.0,,14770.736,91.08
T0,10年期国债,中金所,30m,long,2026-04-14 10:30:00,108.375,,108.34676,0.070104
TA0,PTA,郑商所,30m,long,2026-07-13 23:00:00,5620.0,,5620.608,78.5232
TA0,PTA,郑商所,60m,short,2026-06-12 10:00:00,6288.0,6310.4384,,112.4544
TA0,PTA,郑商所,90m,short,2026-05-21 22:30:00,6324.0,6362.0384,,125.2608
TA0,PTA,郑商所,90m,short,2026-06-11 13:45:00,6302.0,6346.9184,,143.9712
TL0,30年期国债,中金所,120m,long,2026-01-20 11:30:00,111.28,,111.189872,0.392136
TL0,30年期国债,中金所,60m,long,2026-07-21 10:30:00,113.86,,113.823424,0.207816
TL0,30年期国债,中金所,90m,long,2026-01-20 11:00:00,111.24,,111.138256,0.42696
UR0,尿素,郑商所,30m,short,2026-04-30 14:15:00,2020.0,2022.8528,,17.3544
V0,PVC,大商所,30m,short,2026-04-07 14:45:00,5411.0,5436.28,,95.2032
V0,PVC,大商所,60m,long,2026-07-02 22:00:00,4409.0,,4380.8368,47.7552
Y0,豆油,大商所,30m,long,2026-04-29 09:30:00,8546.0,,8523.1312,37.9296
ZN0,沪锌,上期所,120m,long,2026-05-11 11:15:00,24190.0,,24141.624,208.428
ZN0,沪锌,上期所,30m,long,2026-07-22 14:45:00,24570.0,,24549.44,91.836
ZN0,沪锌,上期所,60m,short,2026-07-17 10:00:00,24605.0,24719.888,,136.464
ZN0,沪锌,上期所,90m,short,2026-06-18 11:15:00,24740.0,24853.8,,143.964
ZN0,沪锌,上期所,90m,short,2026-06-23 09:30:00,24765.0,24706.536,,163.176
